"filename", "language", "JSON", "JavaScript", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\Will\inventory-app-front-end\README.md", "Markdown", 0, 0, 0, 38, 0, 0, 33, 71
"c:\Users\Will\inventory-app-front-end\package-lock.json", "JSON", 16118, 0, 0, 0, 0, 0, 1, 16119
"c:\Users\Will\inventory-app-front-end\package.json", "JSON", 49, 0, 0, 0, 0, 0, 1, 50
"c:\Users\Will\inventory-app-front-end\public\index.html", "HTML", 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\Will\inventory-app-front-end\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Will\inventory-app-front-end\src\App.js", "JavaScript", 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\Will\inventory-app-front-end\src\ErrorBoundary.js", "JavaScript", 0, 30, 0, 0, 0, 5, 6, 41
"c:\Users\Will\inventory-app-front-end\src\components\ContentBuilder.js", "JavaScript", 0, 139, 0, 0, 0, 3, 14, 156
"c:\Users\Will\inventory-app-front-end\src\components\ContentList.js", "JavaScript", 0, 189, 0, 0, 0, 7, 19, 215
"c:\Users\Will\inventory-app-front-end\src\components\ContentPresets.js", "JavaScript", 0, 129, 0, 0, 0, 2, 6, 137
"c:\Users\Will\inventory-app-front-end\src\components\Controls\ItemEditControls.js", "JavaScript", 0, 68, 0, 0, 0, 3, 8, 79
"c:\Users\Will\inventory-app-front-end\src\components\Controls\SignItemInOutControls.js", "JavaScript", 0, 61, 0, 0, 0, 3, 7, 71
"c:\Users\Will\inventory-app-front-end\src\components\Controls\UserEditControls.js", "JavaScript", 0, 84, 0, 0, 0, 3, 10, 97
"c:\Users\Will\inventory-app-front-end\src\components\InputValidation\itemValidation.js", "JavaScript", 0, 77, 0, 0, 0, 10, 16, 103
"c:\Users\Will\inventory-app-front-end\src\components\InputValidation\sanitizeData.js", "JavaScript", 0, 32, 0, 0, 0, 8, 11, 51
"c:\Users\Will\inventory-app-front-end\src\components\InputValidation\userValidation.js", "JavaScript", 0, 72, 0, 0, 0, 1, 9, 82
"c:\Users\Will\inventory-app-front-end\src\components\ItemModals\AddItemModal.js", "JavaScript", 0, 281, 0, 0, 0, 25, 30, 336
"c:\Users\Will\inventory-app-front-end\src\components\ItemModals\DeleteItemModal.js", "JavaScript", 0, 90, 0, 0, 0, 6, 11, 107
"c:\Users\Will\inventory-app-front-end\src\components\ItemModals\EditItemModal.js", "JavaScript", 0, 292, 0, 0, 0, 25, 28, 345
"c:\Users\Will\inventory-app-front-end\src\components\ItemModals\SignItemInModal.js", "JavaScript", 0, 88, 0, 0, 0, 8, 11, 107
"c:\Users\Will\inventory-app-front-end\src\components\ItemModals\SignItemOutModal.js", "JavaScript", 0, 139, 0, 0, 0, 13, 16, 168
"c:\Users\Will\inventory-app-front-end\src\components\ItemModals\index.js", "JavaScript", 0, 12, 0, 0, 0, 3, 1, 16
"c:\Users\Will\inventory-app-front-end\src\components\LogModals\AdminLogModal.js", "JavaScript", 0, 60, 0, 0, 0, 3, 7, 70
"c:\Users\Will\inventory-app-front-end\src\components\LogModals\ItemLogModal.js", "JavaScript", 0, 60, 0, 0, 0, 4, 7, 71
"c:\Users\Will\inventory-app-front-end\src\components\ProfileModals\LoginModal.js", "JavaScript", 0, 72, 0, 0, 0, 3, 5, 80
"c:\Users\Will\inventory-app-front-end\src\components\ProfileModals\LogoutModal.js", "JavaScript", 0, 37, 0, 0, 0, 3, 5, 45
"c:\Users\Will\inventory-app-front-end\src\components\Table.js", "JavaScript", 0, 72, 0, 0, 0, 0, 4, 76
"c:\Users\Will\inventory-app-front-end\src\components\ToggleSwitch.js", "JavaScript", 0, 20, 0, 0, 0, 0, 3, 23
"c:\Users\Will\inventory-app-front-end\src\components\UserModals\AddUserModal.js", "JavaScript", 0, 456, 0, 0, 0, 30, 39, 525
"c:\Users\Will\inventory-app-front-end\src\components\UserModals\DeleteUserModal.js", "JavaScript", 0, 98, 0, 0, 0, 7, 13, 118
"c:\Users\Will\inventory-app-front-end\src\components\UserModals\EditUserModal.js", "JavaScript", 0, 502, 0, 0, 0, 38, 41, 581
"c:\Users\Will\inventory-app-front-end\src\components\UserModals\index.js", "JavaScript", 0, 8, 0, 0, 0, 3, 1, 12
"c:\Users\Will\inventory-app-front-end\src\controllers\AdminLogController.js", "JavaScript", 0, 22, 0, 0, 0, 9, 7, 38
"c:\Users\Will\inventory-app-front-end\src\controllers\AuthController.js", "JavaScript", 0, 110, 0, 0, 0, 31, 24, 165
"c:\Users\Will\inventory-app-front-end\src\controllers\GenericController.js", "JavaScript", 0, 25, 0, 0, 0, 21, 7, 53
"c:\Users\Will\inventory-app-front-end\src\controllers\ItemController.js", "JavaScript", 0, 34, 0, 0, 0, 16, 11, 61
"c:\Users\Will\inventory-app-front-end\src\controllers\ItemLogController.js", "JavaScript", 0, 22, 0, 0, 0, 9, 7, 38
"c:\Users\Will\inventory-app-front-end\src\controllers\LoginLogoutController.js", "JavaScript", 0, 31, 0, 0, 0, 5, 7, 43
"c:\Users\Will\inventory-app-front-end\src\controllers\UserController.js", "JavaScript", 0, 53, 0, 0, 0, 16, 15, 84
"c:\Users\Will\inventory-app-front-end\src\controllers\index.js", "JavaScript", 0, 12, 0, 0, 0, 2, 1, 15
"c:\Users\Will\inventory-app-front-end\src\index.js", "JavaScript", 0, 14, 0, 0, 0, 4, 2, 20
"c:\Users\Will\inventory-app-front-end\src\registerServiceWorker.js", "JavaScript", 0, 79, 0, 0, 0, 28, 11, 118
"c:\Users\Will\inventory-app-front-end\src\styles\App.css", "CSS", 0, 0, 96, 0, 0, 23, 19, 138
"c:\Users\Will\inventory-app-front-end\src\styles\ErrorBoundary.css", "CSS", 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\Will\inventory-app-front-end\src\styles\Modal.css", "CSS", 0, 0, 143, 0, 0, 19, 29, 191
"c:\Users\Will\inventory-app-front-end\src\styles\ToggleSwitch.css", "CSS", 0, 0, 73, 0, 0, 3, 5, 81
"c:\Users\Will\inventory-app-front-end\src\styles\table.css", "CSS", 0, 0, 135, 0, 0, 21, 27, 183
"Total", "-", 16192, 3584, 458, 38, 20, 446, 541, 21279
